comparison,FEATURE_ID,c1_num_reps,counts_c1_g1_rep1,counts_c1_g2_rep1,counts_c1_both_rep1,counts_c1_g1_rep2,counts_c1_g2_rep2,counts_c1_both_rep2,counts_c1_g1_rep3,counts_c1_g2_rep3,counts_c1_both_rep3,prior_c1_g1,prior_c1_g2,c1_flag_analyze,c2_num_reps,counts_c2_g1_rep1,counts_c2_g2_rep1,counts_c2_both_rep1,counts_c2_g1_rep2,counts_c2_g2_rep2,counts_c2_both_rep2,counts_c2_g1_rep3,counts_c2_g2_rep3,counts_c2_both_rep3,prior_c2_g1,prior_c2_g2,c2_flag_analyze
line,fusion_id,3,40,74,81936,42,56,83914,45,92,49158,0.5,0.8,1,3,65,65,80329,44,64,61755,56,78,70641,0.5,0.8,1
line,fusion_id,3,42,89,74032,53,95,76858,43,61,88917,0.5,0.8,1,3,34,46,45877,54,73,76914,54,74,81002,0.5,0.8,1
line,fusion_id,3,39,79,67660,46,83,55516,53,75,55436,0.5,0.8,1,3,40,100,85286,58,72,77896,61,70,74633,0.5,0.8,1
line,fusion_id,3,45,65,94874,66,88,77903,62,88,73595,0.5,0.8,1,3,50,71,77298,60,60,59950,46,65,64974,0.5,0.8,1
line,fusion_id,3,49,119,75149,35,68,86641,42,77,63567,0.5,0.8,1,3,46,98,70130,42,77,75244,62,79,73364,0.5,0.8,1
line,fusion_id,3,40,100,86732,56,76,73247,54,83,68209,0.5,0.8,1,3,41,87,83019,49,60,56733,60,66,77404,0.5,0.8,1
line,fusion_id,3,49,60,91033,55,81,71083,30,73,58266,0.5,0.8,1,3,46,68,78040,37,73,78744,58,75,78254,0.5,0.8,1
line,fusion_id,3,74,71,85502,45,76,86348,28,74,65603,0.5,0.8,1,3,52,67,73174,44,74,71807,53,82,64635,0.5,0.8,1
line,fusion_id,3,57,81,61759,33,102,76499,52,83,55610,0.5,0.8,1,3,44,49,69879,49,64,75499,50,74,79684,0.5,0.8,1
line,fusion_id,3,47,102,59847,60,73,73201,59,78,71431,0.5,0.8,1,3,49,73,65673,56,68,72108,55,84,77449,0.5,0.8,1
line,fusion_id,3,46,77,94904,44,83,72796,31,86,77298,0.5,0.8,1,3,41,83,59764,38,71,83710,59,63,65127,0.5,0.8,1
line,fusion_id,3,53,93,87114,57,73,73856,62,96,62949,0.5,0.8,1,3,70,84,83595,46,108,68861,35,67,60746,0.5,0.8,1
line,fusion_id,3,60,74,80454,50,61,66490,41,82,71966,0.5,0.8,1,3,42,80,64697,64,57,86095,38,64,73507,0.5,0.8,1
line,fusion_id,3,40,64,63724,38,79,79533,50,93,67356,0.5,0.8,1,3,50,93,81335,35,82,67862,50,78,71228,0.5,0.8,1
line,fusion_id,3,66,95,70154,35,120,70919,47,102,72440,0.5,0.8,1,3,44,85,73357,58,80,59447,60,93,71513,0.5,0.8,1
line,fusion_id,3,47,79,70033,58,94,87093,54,136,97201,0.5,0.8,1,3,37,75,69338,35,109,79605,35,78,82306,0.5,0.8,1
line,fusion_id,3,63,118,89481,47,87,58845,52,76,66057,0.5,0.8,1,3,63,77,73847,59,95,71957,46,69,63017,0.5,0.8,1
line,fusion_id,3,50,115,88627,47,97,64941,51,85,62705,0.5,0.8,1,3,23,88,74000,51,75,91152,56,77,73309,0.5,0.8,1
line,fusion_id,3,37,89,71615,58,78,68708,51,65,64703,0.5,0.8,1,3,53,89,57154,52,87,61225,61,94,72028,0.5,0.8,1
line,fusion_id,3,57,89,77380,39,75,61353,64,67,74929,0.5,0.8,1,3,55,95,54007,45,56,72339,66,63,89541,0.5,0.8,1
line,fusion_id,3,54,69,69593,47,79,81230,60,87,82742,0.5,0.8,1,3,47,50,67445,33,66,80207,45,120,68156,0.5,0.8,1
line,fusion_id,3,49,72,85801,37,80,63606,56,53,71796,0.5,0.8,1,3,46,74,64070,39,75,59795,34,77,64466,0.5,0.8,1
line,fusion_id,3,47,63,71687,52,82,52524,66,93,82233,0.5,0.8,1,3,50,71,84615,47,62,72163,66,76,59927,0.5,0.8,1
line,fusion_id,3,44,63,58321,40,87,79515,59,73,77141,0.5,0.8,1,3,41,75,66518,41,101,68351,53,123,69219,0.5,0.8,1
line,fusion_id,3,53,92,64487,28,92,56697,60,80,54796,0.5,0.8,1,3,46,84,78088,52,82,64941,28,110,42737,0.5,0.8,1
line,fusion_id,3,44,76,83691,55,97,71175,57,70,69388,0.5,0.8,1,3,48,72,75102,59,82,67977,48,59,59257,0.5,0.8,1
line,fusion_id,3,41,97,70344,50,76,76530,39,127,62572,0.5,0.8,1,3,55,61,70935,64,83,77339,51,73,59072,0.5,0.8,1
line,fusion_id,3,50,98,84016,56,85,73767,47,82,73210,0.5,0.8,1,3,36,86,74062,41,106,69091,44,74,61607,0.5,0.8,1
line,fusion_id,3,38,70,71496,44,65,71982,58,91,71023,0.5,0.8,1,3,66,86,87931,51,47,64642,31,81,67259,0.5,0.8,1
line,fusion_id,3,57,102,66208,61,89,53519,43,63,68978,0.5,0.8,1,3,56,72,61298,50,64,62517,54,77,72507,0.5,0.8,1
line,fusion_id,3,37,72,64859,59,87,79640,42,73,75002,0.5,0.8,1,3,49,93,68198,42,105,82040,67,99,62675,0.5,0.8,1
line,fusion_id,3,42,74,67228,48,88,75257,46,77,63758,0.5,0.8,1,3,35,63,68081,50,88,66948,43,69,85668,0.5,0.8,1
line,fusion_id,3,44,80,79796,69,79,75496,53,127,75550,0.5,0.8,1,3,53,77,74677,41,60,65680,45,96,86818,0.5,0.8,1
line,fusion_id,3,63,81,63169,62,95,65302,44,60,82715,0.5,0.8,1,3,45,86,66723,62,57,64498,47,58,65888,0.5,0.8,1
line,fusion_id,3,34,59,70748,62,78,72065,53,63,85368,0.5,0.8,1,3,56,73,67556,48,92,73723,62,88,83000,0.5,0.8,1
line,fusion_id,3,45,97,69832,35,106,69359,43,81,67661,0.5,0.8,1,3,65,97,57672,58,76,68910,30,87,79827,0.5,0.8,1
line,fusion_id,3,54,90,77224,55,112,88846,60,86,65341,0.5,0.8,1,3,61,65,60726,44,86,66196,49,67,72085,0.5,0.8,1
line,fusion_id,3,46,75,53523,48,89,77470,48,86,53963,0.5,0.8,1,3,62,66,60919,52,46,62021,59,73,64140,0.5,0.8,1
line,fusion_id,3,32,88,76522,42,73,51105,31,73,63789,0.5,0.8,1,3,45,91,53741,42,71,77746,53,79,83272,0.5,0.8,1
line,fusion_id,3,43,70,77896,48,101,70775,33,75,66104,0.5,0.8,1,3,50,93,75086,57,83,48669,26,95,55080,0.5,0.8,1
line,fusion_id,3,62,62,55783,58,74,89795,67,98,77850,0.5,0.8,1,3,58,59,64573,44,58,62754,37,89,71225,0.5,0.8,1
line,fusion_id,3,69,96,83090,68,64,57874,52,67,65829,0.5,0.8,1,3,55,54,64102,43,118,76554,37,101,68337,0.5,0.8,1
line,fusion_id,3,52,92,61981,60,111,61690,51,96,88023,0.5,0.8,1,3,53,74,72491,55,66,54858,51,78,64846,0.5,0.8,1
line,fusion_id,3,59,105,83518,53,69,85200,46,92,56007,0.5,0.8,1,3,43,88,68061,45,90,83896,44,65,93259,0.5,0.8,1
line,fusion_id,3,43,67,101530,50,63,59824,49,96,66159,0.5,0.8,1,3,50,66,70895,47,91,70710,37,81,80898,0.5,0.8,1
line,fusion_id,3,34,97,62126,54,75,59135,47,90,79422,0.5,0.8,1,3,59,67,66916,54,94,84472,44,70,76146,0.5,0.8,1
line,fusion_id,3,35,65,67735,44,76,79901,61,105,89028,0.5,0.8,1,3,45,84,68495,55,70,81557,48,64,63047,0.5,0.8,1
line,fusion_id,3,42,76,67868,60,65,81446,53,107,63958,0.5,0.8,1,3,50,71,75320,45,65,55856,48,97,69075,0.5,0.8,1
line,fusion_id,3,52,86,56900,47,71,67233,42,94,60268,0.5,0.8,1,3,45,64,77260,56,75,63530,61,99,84862,0.5,0.8,1
line,fusion_id,3,48,82,81173,44,85,83474,56,98,61935,0.5,0.8,1,3,44,85,79983,43,82,68580,47,70,65913,0.5,0.8,1
line,fusion_id,3,47,57,58070,71,74,62786,53,65,72826,0.5,0.8,1,3,49,87,77642,51,58,60103,35,69,82610,0.5,0.8,1
line,fusion_id,3,40,95,71627,59,85,54218,59,45,59197,0.5,0.8,1,3,36,63,73464,65,58,58513,46,63,62312,0.5,0.8,1
line,fusion_id,3,50,61,51608,54,82,74723,33,86,70758,0.5,0.8,1,3,34,60,59203,57,75,70698,69,94,76833,0.5,0.8,1
line,fusion_id,3,42,98,63398,45,67,72123,34,78,71925,0.5,0.8,1,3,58,56,71117,50,74,54650,43,84,80163,0.5,0.8,1
line,fusion_id,3,55,65,58822,54,64,85160,48,102,73619,0.5,0.8,1,3,42,62,51148,58,75,63079,59,70,66799,0.5,0.8,1
line,fusion_id,3,44,73,58213,43,70,70148,39,64,61958,0.5,0.8,1,3,44,79,72088,47,95,72372,37,85,80323,0.5,0.8,1
line,fusion_id,3,56,69,58474,48,77,73333,50,94,71719,0.5,0.8,1,3,47,82,88423,44,72,82432,39,78,79435,0.5,0.8,1
line,fusion_id,3,43,83,70103,57,95,61118,45,77,68557,0.5,0.8,1,3,46,93,91293,51,115,81253,46,86,82905,0.5,0.8,1
line,fusion_id,3,44,83,67809,59,61,56036,59,90,65443,0.5,0.8,1,3,47,72,79749,39,91,56989,41,60,63040,0.5,0.8,1
line,fusion_id,3,48,81,82350,51,75,77545,37,77,62206,0.5,0.8,1,3,36,80,65607,65,74,77207,43,78,70173,0.5,0.8,1
line,fusion_id,3,61,79,90470,55,55,55145,63,54,64929,0.5,0.8,1,3,35,72,82067,50,105,66318,32,56,69023,0.5,0.8,1
line,fusion_id,3,62,103,70391,52,68,63067,33,73,70864,0.5,0.8,1,3,36,91,71493,60,73,72310,45,94,61756,0.5,0.8,1
line,fusion_id,3,54,69,87414,59,69,74984,65,74,73020,0.5,0.8,1,3,51,88,69543,51,107,80691,64,76,69893,0.5,0.8,1
line,fusion_id,3,50,75,91768,42,60,83105,46,76,82199,0.5,0.8,1,3,63,81,58765,44,83,75576,52,87,90413,0.5,0.8,1
line,fusion_id,3,46,97,68883,35,105,66600,35,93,77832,0.5,0.8,1,3,58,92,75260,52,74,54323,54,63,60987,0.5,0.8,1
line,fusion_id,3,73,82,60071,44,86,61805,55,82,74836,0.5,0.8,1,3,67,84,87617,56,81,66892,47,76,75970,0.5,0.8,1
line,fusion_id,3,45,68,57410,49,89,93558,40,87,87419,0.5,0.8,1,3,68,86,62931,50,78,68914,53,80,73264,0.5,0.8,1
line,fusion_id,3,45,75,76015,50,93,53632,58,61,63461,0.5,0.8,1,3,59,67,80536,46,95,80490,68,76,66794,0.5,0.8,1
line,fusion_id,3,64,77,58508,59,93,52728,41,75,84981,0.5,0.8,1,3,42,77,66228,51,75,57043,45,77,74893,0.5,0.8,1
line,fusion_id,3,48,65,69644,46,68,65565,45,74,66309,0.5,0.8,1,3,56,86,72330,62,72,67121,45,65,62261,0.5,0.8,1
line,fusion_id,3,49,101,79526,39,80,80289,42,96,68677,0.5,0.8,1,3,47,101,66964,50,75,80320,40,91,70905,0.5,0.8,1
line,fusion_id,3,68,76,65358,53,66,96499,66,83,64540,0.5,0.8,1,3,44,75,70545,61,54,77239,48,62,90785,0.5,0.8,1
line,fusion_id,3,37,73,67012,58,67,83606,68,55,53760,0.5,0.8,1,3,42,84,76200,56,64,69289,65,65,76682,0.5,0.8,1
line,fusion_id,3,56,86,60966,37,68,61739,45,72,68451,0.5,0.8,1,3,45,70,72345,47,85,78861,44,72,64392,0.5,0.8,1
line,fusion_id,3,46,79,56231,35,73,75052,59,52,86968,0.5,0.8,1,3,41,91,76377,56,75,77095,67,86,64391,0.5,0.8,1
line,fusion_id,3,43,44,60817,58,65,60458,50,76,51262,0.5,0.8,1,3,44,59,68504,56,68,71953,54,94,74059,0.5,0.8,1
line,fusion_id,3,46,64,62581,40,100,70545,32,92,61991,0.5,0.8,1,3,59,109,64975,55,96,69166,44,73,70142,0.5,0.8,1
line,fusion_id,3,49,71,70667,37,86,65937,34,68,85816,0.5,0.8,1,3,47,68,61900,34,111,80595,41,112,87994,0.5,0.8,1
line,fusion_id,3,37,86,63561,45,84,81101,47,65,61779,0.5,0.8,1,3,62,81,61991,34,97,74823,43,100,88624,0.5,0.8,1
line,fusion_id,3,63,78,86017,46,96,44669,55,85,71191,0.5,0.8,1,3,33,72,72008,67,89,56760,41,87,83295,0.5,0.8,1
line,fusion_id,3,39,83,56937,48,78,65134,54,67,62964,0.5,0.8,1,3,58,65,95531,57,84,62402,47,113,72472,0.5,0.8,1
line,fusion_id,3,40,92,69537,46,88,60252,63,83,78378,0.5,0.8,1,3,43,81,68394,49,92,77758,55,77,60512,0.5,0.8,1
line,fusion_id,3,55,90,65046,70,53,59955,64,81,69993,0.5,0.8,1,3,47,74,65922,58,97,72639,54,70,60011,0.5,0.8,1
line,fusion_id,3,33,78,60390,56,66,71092,51,83,63922,0.5,0.8,1,3,51,85,64263,53,92,72060,53,55,74381,0.5,0.8,1
line,fusion_id,3,50,80,59794,46,83,91376,32,72,76789,0.5,0.8,1,3,42,90,68341,53,92,76636,67,91,62354,0.5,0.8,1
line,fusion_id,3,40,77,77087,64,86,78106,33,111,75512,0.5,0.8,1,3,51,69,68619,48,83,69812,51,100,81569,0.5,0.8,1
line,fusion_id,3,64,67,67945,29,112,67273,47,93,71220,0.5,0.8,1,3,62,60,65027,46,58,72142,40,82,79328,0.5,0.8,1
line,fusion_id,3,48,91,63706,59,69,65695,51,92,79978,0.5,0.8,1,3,72,75,67876,50,79,64737,48,85,67498,0.5,0.8,1
line,fusion_id,3,57,85,65186,46,71,66907,43,60,65203,0.5,0.8,1,3,61,75,69472,66,113,77679,30,84,63631,0.5,0.8,1
line,fusion_id,3,61,98,74139,57,93,53504,52,77,66149,0.5,0.8,1,3,58,79,79847,59,75,90068,37,74,72667,0.5,0.8,1
line,fusion_id,3,37,84,80450,41,96,65075,52,74,77469,0.5,0.8,1,3,59,93,92611,55,98,64980,56,82,63573,0.5,0.8,1
line,fusion_id,3,41,105,76384,39,47,72802,36,66,75718,0.5,0.8,1,3,50,82,73922,35,92,77146,40,91,64171,0.5,0.8,1
line,fusion_id,3,60,67,71547,53,118,87978,56,65,88279,0.5,0.8,1,3,46,75,64933,37,82,86026,48,94,62358,0.5,0.8,1
line,fusion_id,3,53,68,69513,48,91,61603,53,76,66490,0.5,0.8,1,3,27,69,66099,64,65,81973,58,78,62418,0.5,0.8,1
line,fusion_id,3,74,95,68420,45,77,62623,75,77,61342,0.5,0.8,1,3,52,84,63130,58,78,63946,53,83,91964,0.5,0.8,1
line,fusion_id,3,58,119,79656,54,78,61198,56,81,59046,0.5,0.8,1,3,68,76,56060,67,75,70335,55,84,75515,0.5,0.8,1
