comparison,FEATURE_ID,c1_num_reps,counts_c1_g1_rep1,counts_c1_g2_rep1,counts_c1_both_rep1,counts_c1_g1_rep2,counts_c1_g2_rep2,counts_c1_both_rep2,counts_c1_g1_rep3,counts_c1_g2_rep3,counts_c1_both_rep3,prior_c1_g1,prior_c1_g2,c1_flag_analyze,c2_num_reps,counts_c2_g1_rep1,counts_c2_g2_rep1,counts_c2_both_rep1,counts_c2_g1_rep2,counts_c2_g2_rep2,counts_c2_both_rep2,counts_c2_g1_rep3,counts_c2_g2_rep3,counts_c2_both_rep3,prior_c2_g1,prior_c2_g2,c2_flag_analyze
line,fusion_id,3,3,11,9905,2,10,9802,2,4,11175,0.2,0.8,1,3,4,14,10279,3,16,8893,1,7,8922,0.2,0.8,1
line,fusion_id,3,1,11,8705,1,9,11710,2,11,12477,0.2,0.8,1,3,3,5,14723,5,6,10783,2,12,8250,0.2,0.8,1
line,fusion_id,3,4,4,11408,0,10,10755,3,11,7449,0.2,0.8,1,3,4,4,8287,3,10,10250,3,7,9919,0.2,0.8,1
line,fusion_id,3,3,3,10141,1,10,10453,2,13,9748,0.2,0.8,1,3,0,6,10926,1,5,10255,2,4,9045,0.2,0.8,1
line,fusion_id,3,0,6,10297,2,3,9792,5,5,13974,0.2,0.8,1,3,1,6,9051,0,6,11809,5,8,11391,0.2,0.8,1
line,fusion_id,3,1,7,12290,0,9,8801,0,8,11896,0.2,0.8,1,3,2,9,7724,3,9,10081,1,6,9517,0.2,0.8,1
line,fusion_id,3,3,7,9231,3,5,12694,3,6,10343,0.2,0.8,1,3,6,16,10119,1,7,9097,2,5,8812,0.2,0.8,1
line,fusion_id,3,2,3,7942,2,4,13348,2,8,9190,0.2,0.8,1,3,4,4,10226,3,7,12755,2,12,8678,0.2,0.8,1
line,fusion_id,3,1,13,10800,3,12,10770,4,10,10695,0.2,0.8,1,3,1,4,9769,0,8,12846,4,13,10905,0.2,0.8,1
line,fusion_id,3,3,6,10226,1,10,9730,3,15,9995,0.2,0.8,1,3,2,9,9171,0,4,6782,1,9,11416,0.2,0.8,1
line,fusion_id,3,2,6,9199,3,5,10679,2,13,10329,0.2,0.8,1,3,1,9,10785,4,12,11373,3,2,11027,0.2,0.8,1
line,fusion_id,3,2,13,6929,2,3,9591,4,8,11508,0.2,0.8,1,3,2,11,10022,4,16,12004,2,4,12108,0.2,0.8,1
line,fusion_id,3,3,9,11914,4,10,9308,1,7,9462,0.2,0.8,1,3,1,5,9922,1,9,13246,3,11,12364,0.2,0.8,1
