comparison,FEATURE_ID,c1_num_reps,counts_c1_g1_rep1,counts_c1_g2_rep1,counts_c1_both_rep1,counts_c1_g1_rep2,counts_c1_g2_rep2,counts_c1_both_rep2,counts_c1_g1_rep3,counts_c1_g2_rep3,counts_c1_both_rep3,prior_c1_g1,prior_c1_g2,c1_flag_analyze,c2_num_reps,counts_c2_g1_rep1,counts_c2_g2_rep1,counts_c2_both_rep1,counts_c2_g1_rep2,counts_c2_g2_rep2,counts_c2_both_rep2,counts_c2_g1_rep3,counts_c2_g2_rep3,counts_c2_both_rep3,prior_c2_g1,prior_c2_g2,c2_flag_analyze
line,fusion_id,3,3,9,4368,7,9,4313,11,10,3863,0.8,0.8,1,3,10,11,3375,8,8,3815,9,7,4119,0.8,0.8,1
line,fusion_id,3,11,4,3450,8,8,3987,9,7,3814,0.8,0.8,1,3,6,10,4809,10,6,4127,7,13,4275,0.8,0.8,1
line,fusion_id,3,9,12,3410,7,6,4761,10,5,4342,0.8,0.8,1,3,7,7,3632,8,5,3537,6,7,4500,0.8,0.8,1
line,fusion_id,3,5,6,3222,10,6,4950,8,3,4170,0.8,0.8,1,3,7,10,3787,6,10,3744,6,7,3854,0.8,0.8,1
line,fusion_id,3,11,12,4091,9,6,2823,7,8,4485,0.8,0.8,1,3,7,11,4166,6,9,4653,9,6,3400,0.8,0.8,1
line,fusion_id,3,14,6,3499,10,7,3807,12,9,4355,0.8,0.8,1,3,6,6,4502,10,15,4041,4,15,3969,0.8,0.8,1
line,fusion_id,3,5,10,4339,5,5,2958,13,12,3941,0.8,0.8,1,3,6,8,4121,5,5,3423,7,9,3876,0.8,0.8,1
line,fusion_id,3,7,4,4487,7,11,4631,8,12,3612,0.8,0.8,1,3,10,6,4005,9,11,4828,3,9,3997,0.8,0.8,1
line,fusion_id,3,10,16,4115,5,9,3709,8,4,3918,0.8,0.8,1,3,2,6,3421,6,7,3928,5,7,3570,0.8,0.8,1
line,fusion_id,3,9,7,3768,17,9,3552,9,10,4502,0.8,0.8,1,3,4,4,2757,8,6,3541,4,4,3504,0.8,0.8,1
line,fusion_id,3,4,9,3175,8,10,4442,9,3,4653,0.8,0.8,1,3,12,11,4073,10,7,3994,5,7,4064,0.8,0.8,1
line,fusion_id,3,9,8,3592,9,10,4188,8,12,4379,0.8,0.8,1,3,7,12,4067,0,8,4892,4,11,2935,0.8,0.8,1
line,fusion_id,3,8,6,3956,4,4,3060,6,11,4330,0.8,0.8,1,3,12,16,2378,11,6,3709,5,6,4343,0.8,0.8,1
line,fusion_id,3,13,6,4573,8,10,4333,9,12,4222,0.8,0.8,1,3,5,10,4817,12,6,3240,11,9,3736,0.8,0.8,1
line,fusion_id,3,6,11,3701,9,6,3592,8,5,4002,0.8,0.8,1,3,10,4,3694,16,5,4376,6,5,4511,0.8,0.8,1
line,fusion_id,3,9,4,5303,9,7,3511,7,4,3710,0.8,0.8,1,3,9,9,5196,3,5,3152,5,7,3869,0.8,0.8,1
line,fusion_id,3,7,11,3360,12,3,3297,7,10,3567,0.8,0.8,1,3,3,8,4286,4,8,2918,4,8,3593,0.8,0.8,1
line,fusion_id,3,5,7,3954,3,12,4015,4,11,4051,0.8,0.8,1,3,5,7,3844,12,13,3544,18,9,4478,0.8,0.8,1
line,fusion_id,3,3,6,4163,8,6,3441,7,6,2769,0.8,0.8,1,3,6,9,4603,16,6,4301,15,7,3661,0.8,0.8,1
