comparison,FEATURE_ID,c1_num_reps,counts_c1_g1_rep1,counts_c1_g2_rep1,counts_c1_both_rep1,counts_c1_g1_rep2,counts_c1_g2_rep2,counts_c1_both_rep2,counts_c1_g1_rep3,counts_c1_g2_rep3,counts_c1_both_rep3,prior_c1_g1,prior_c1_g2,c1_flag_analyze,c2_num_reps,counts_c2_g1_rep1,counts_c2_g2_rep1,counts_c2_both_rep1,counts_c2_g1_rep2,counts_c2_g2_rep2,counts_c2_both_rep2,counts_c2_g1_rep3,counts_c2_g2_rep3,counts_c2_both_rep3,prior_c2_g1,prior_c2_g2,c2_flag_analyze
line,fusion_id,3,23,46,102058,30,86,92997,23,71,104455,0.2,0.8,1,3,15,65,102680,20,105,118517,27,79,81460,0.2,0.8,1
line,fusion_id,3,17,51,112413,20,83,106621,22,105,114474,0.2,0.8,1,3,14,61,80654,18,111,90568,24,73,100140,0.2,0.8,1
line,fusion_id,3,22,102,102053,14,78,108296,25,58,115777,0.2,0.8,1,3,16,60,95453,21,60,80982,20,98,97329,0.2,0.8,1
line,fusion_id,3,29,103,82139,25,101,110126,21,83,99754,0.2,0.8,1,3,18,65,106913,19,105,87121,15,80,92375,0.2,0.8,1
line,fusion_id,3,26,67,122286,26,97,124419,20,81,119370,0.2,0.8,1,3,25,100,93383,19,85,92956,16,71,104737,0.2,0.8,1
line,fusion_id,3,14,76,93766,26,78,90755,26,84,104174,0.2,0.8,1,3,23,96,102578,14,86,100407,22,81,90176,0.2,0.8,1
line,fusion_id,3,16,74,78388,22,77,87193,21,74,95874,0.2,0.8,1,3,29,70,88884,25,76,81416,27,152,96184,0.2,0.8,1
line,fusion_id,3,13,83,89222,24,81,107418,16,57,110466,0.2,0.8,1,3,23,77,107200,21,74,131742,8,72,105062,0.2,0.8,1
line,fusion_id,3,18,82,90641,15,56,107996,27,81,107481,0.2,0.8,1,3,21,66,122592,27,77,96766,16,53,82144,0.2,0.8,1
line,fusion_id,3,14,92,93329,14,82,77437,27,69,95215,0.2,0.8,1,3,27,66,109915,13,85,125916,24,90,109198,0.2,0.8,1
line,fusion_id,3,17,101,90232,30,85,87230,25,70,102603,0.2,0.8,1,3,24,58,74929,15,78,104515,25,78,109161,0.2,0.8,1
line,fusion_id,3,21,86,99840,19,79,92005,20,91,103618,0.2,0.8,1,3,25,68,126432,21,61,84064,20,58,99032,0.2,0.8,1
line,fusion_id,3,28,83,123964,23,64,99369,18,105,107799,0.2,0.8,1,3,22,71,80499,19,86,83803,30,98,98342,0.2,0.8,1
line,fusion_id,3,13,73,87991,20,85,121703,24,92,74030,0.2,0.8,1,3,27,91,80317,33,80,95026,10,82,78841,0.2,0.8,1
line,fusion_id,3,18,85,90953,21,87,94440,22,100,90392,0.2,0.8,1,3,31,72,93083,24,77,103061,19,72,93369,0.2,0.8,1
line,fusion_id,3,19,106,84515,21,74,94345,19,139,127570,0.2,0.8,1,3,11,69,107076,19,108,96128,22,72,99013,0.2,0.8,1
line,fusion_id,3,13,86,84727,12,59,98669,15,100,100430,0.2,0.8,1,3,13,105,89104,19,62,104359,25,59,122847,0.2,0.8,1
line,fusion_id,3,20,91,91530,28,88,104932,19,68,123860,0.2,0.8,1,3,24,79,104810,13,69,93222,25,85,108292,0.2,0.8,1
line,fusion_id,3,27,103,72768,21,77,96400,15,83,88450,0.2,0.8,1,3,15,84,91228,25,75,98043,19,67,117191,0.2,0.8,1
line,fusion_id,3,27,107,106865,21,71,79828,20,82,110901,0.2,0.8,1,3,22,87,90575,14,58,110440,16,81,104560,0.2,0.8,1
line,fusion_id,3,13,93,105669,24,72,104360,17,91,110757,0.2,0.8,1,3,18,99,95946,33,110,101454,27,88,121529,0.2,0.8,1
line,fusion_id,3,22,96,121386,28,81,81107,24,96,82442,0.2,0.8,1,3,21,96,104159,18,68,110098,37,78,100132,0.2,0.8,1
line,fusion_id,3,24,69,120098,15,80,105828,12,69,105699,0.2,0.8,1,3,9,78,101951,24,109,111729,18,64,82749,0.2,0.8,1
line,fusion_id,3,20,74,86822,29,83,106222,18,89,93640,0.2,0.8,1,3,26,49,107684,23,70,91940,17,80,106356,0.2,0.8,1
line,fusion_id,3,21,94,73218,23,75,103137,15,79,95380,0.2,0.8,1,3,15,71,100315,18,57,97046,21,88,104984,0.2,0.8,1
line,fusion_id,3,10,79,79592,24,55,101737,23,65,108775,0.2,0.8,1,3,21,109,110461,15,71,128723,20,85,93043,0.2,0.8,1
