comparison,FEATURE_ID,c1_num_reps,counts_c1_g1_rep1,counts_c1_g2_rep1,counts_c1_both_rep1,counts_c1_g1_rep2,counts_c1_g2_rep2,counts_c1_both_rep2,counts_c1_g1_rep3,counts_c1_g2_rep3,counts_c1_both_rep3,prior_c1_g1,prior_c1_g2,c1_flag_analyze,c2_num_reps,counts_c2_g1_rep1,counts_c2_g2_rep1,counts_c2_both_rep1,counts_c2_g1_rep2,counts_c2_g2_rep2,counts_c2_both_rep2,counts_c2_g1_rep3,counts_c2_g2_rep3,counts_c2_both_rep3,prior_c2_g1,prior_c2_g2,c2_flag_analyze
line,fusion_id,3,78,71,29,72,62,24,74,84,37,0.8,0.8,1,3,82,80,22,76,107,31,71,90,50,0.8,0.8,1
line,fusion_id,3,78,65,25,70,79,40,70,77,34,0.8,0.8,1,3,76,76,32,80,96,41,95,97,44,0.8,0.8,1
line,fusion_id,3,59,78,25,65,64,38,60,83,37,0.8,0.8,1,3,79,88,25,70,74,47,88,69,41,0.8,0.8,1
line,fusion_id,3,70,88,45,75,77,27,65,95,29,0.8,0.8,1,3,79,83,46,98,107,32,92,88,34,0.8,0.8,1
line,fusion_id,3,94,48,48,77,68,55,83,92,50,0.8,0.8,1,3,70,77,39,81,94,43,82,86,52,0.8,0.8,1
line,fusion_id,3,92,72,37,105,56,35,89,84,43,0.8,0.8,1,3,99,58,32,88,79,41,94,66,49,0.8,0.8,1
line,fusion_id,3,70,110,21,77,101,40,72,68,32,0.8,0.8,1,3,81,85,35,103,92,47,91,74,52,0.8,0.8,1
line,fusion_id,3,79,90,30,74,88,45,80,79,28,0.8,0.8,1,3,81,87,53,112,73,31,65,135,51,0.8,0.8,1
line,fusion_id,3,75,77,38,81,76,44,73,75,41,0.8,0.8,1,3,65,67,40,81,58,59,81,87,34,0.8,0.8,1
line,fusion_id,3,76,100,32,69,60,38,88,82,35,0.8,0.8,1,3,92,86,29,72,121,53,71,75,32,0.8,0.8,1
line,fusion_id,3,75,84,34,58,75,44,113,87,55,0.8,0.8,1,3,65,64,37,79,71,31,91,83,54,0.8,0.8,1
line,fusion_id,3,103,84,32,80,74,38,91,85,37,0.8,0.8,1,3,92,60,31,64,77,50,57,76,40,0.8,0.8,1
line,fusion_id,3,99,115,54,79,102,77,85,95,37,0.8,0.8,1,3,60,89,34,68,92,30,94,86,44,0.8,0.8,1
line,fusion_id,3,65,152,44,74,56,33,66,51,34,0.8,0.8,1,3,68,86,58,81,61,35,90,112,43,0.8,0.8,1
line,fusion_id,3,84,74,25,88,76,25,78,63,36,0.8,0.8,1,3,61,83,50,59,87,40,82,70,22,0.8,0.8,1
line,fusion_id,3,67,64,42,63,82,47,69,69,43,0.8,0.8,1,3,85,98,53,67,73,36,93,68,29,0.8,0.8,1
line,fusion_id,3,85,62,45,90,71,28,84,95,51,0.8,0.8,1,3,80,85,38,66,79,36,86,53,41,0.8,0.8,1
line,fusion_id,3,89,93,41,100,102,27,100,95,38,0.8,0.8,1,3,71,77,42,63,93,29,92,71,47,0.8,0.8,1
line,fusion_id,3,78,72,29,85,75,29,77,78,44,0.8,0.8,1,3,80,69,50,96,96,32,63,69,26,0.8,0.8,1
line,fusion_id,3,77,82,44,62,102,54,99,73,40,0.8,0.8,1,3,101,80,36,107,68,42,72,46,40,0.8,0.8,1
line,fusion_id,3,89,81,35,86,70,49,69,80,52,0.8,0.8,1,3,91,94,43,110,77,41,65,76,29,0.8,0.8,1
line,fusion_id,3,78,78,45,67,88,42,68,66,40,0.8,0.8,1,3,97,54,35,83,88,38,82,93,38,0.8,0.8,1
line,fusion_id,3,87,73,34,107,76,50,74,84,41,0.8,0.8,1,3,63,87,35,108,88,54,79,91,31,0.8,0.8,1
line,fusion_id,3,73,63,33,84,60,30,79,67,24,0.8,0.8,1,3,75,96,27,92,70,50,85,108,29,0.8,0.8,1
