comparison,FEATURE_ID,c1_num_reps,counts_c1_g1_rep1,counts_c1_g2_rep1,counts_c1_both_rep1,counts_c1_g1_rep2,counts_c1_g2_rep2,counts_c1_both_rep2,counts_c1_g1_rep3,counts_c1_g2_rep3,counts_c1_both_rep3,prior_c1_g1,prior_c1_g2,c1_flag_analyze,c2_num_reps,counts_c2_g1_rep1,counts_c2_g2_rep1,counts_c2_both_rep1,counts_c2_g1_rep2,counts_c2_g2_rep2,counts_c2_both_rep2,counts_c2_g1_rep3,counts_c2_g2_rep3,counts_c2_both_rep3,prior_c2_g1,prior_c2_g2,c2_flag_analyze
line,fusion_id,3,18,72,99,21,80,101,22,80,76,0.2,0.8,1,3,30,81,117,22,95,114,26,76,92,0.2,0.8,1
line,fusion_id,3,21,67,87,13,56,134,24,103,121,0.2,0.8,1,3,22,77,119,26,64,123,21,89,137,0.2,0.8,1
line,fusion_id,3,12,79,86,30,87,102,12,92,123,0.2,0.8,1,3,17,74,97,27,85,114,20,64,89,0.2,0.8,1
line,fusion_id,3,22,101,76,22,77,114,22,79,91,0.2,0.8,1,3,14,70,103,24,106,71,19,63,110,0.2,0.8,1
line,fusion_id,3,21,108,94,21,55,103,15,78,90,0.2,0.8,1,3,19,81,132,11,90,103,24,102,92,0.2,0.8,1
line,fusion_id,3,13,80,90,20,84,90,24,46,111,0.2,0.8,1,3,12,81,103,21,84,102,20,99,98,0.2,0.8,1
line,fusion_id,3,12,59,99,13,65,100,19,89,99,0.2,0.8,1,3,24,82,123,30,76,114,28,82,96,0.2,0.8,1
line,fusion_id,3,22,87,117,16,105,88,14,75,133,0.2,0.8,1,3,35,61,125,17,70,86,29,78,117,0.2,0.8,1
line,fusion_id,3,13,75,104,21,85,74,23,70,108,0.2,0.8,1,3,11,84,116,12,67,118,24,62,123,0.2,0.8,1
line,fusion_id,3,25,76,124,18,85,89,17,78,92,0.2,0.8,1,3,29,80,128,14,80,90,22,76,122,0.2,0.8,1
line,fusion_id,3,22,82,107,17,94,120,20,85,86,0.2,0.8,1,3,14,68,68,14,85,93,19,88,100,0.2,0.8,1
line,fusion_id,3,20,97,91,13,73,91,26,83,106,0.2,0.8,1,3,19,76,96,20,97,107,15,85,101,0.2,0.8,1
line,fusion_id,3,16,80,86,20,69,110,13,76,114,0.2,0.8,1,3,30,59,103,22,56,79,19,73,101,0.2,0.8,1
line,fusion_id,3,23,64,89,12,61,96,19,91,94,0.2,0.8,1,3,22,74,94,19,90,74,23,86,98,0.2,0.8,1
line,fusion_id,3,21,73,91,23,71,127,20,73,103,0.2,0.8,1,3,19,103,103,26,61,102,28,57,66,0.2,0.8,1
line,fusion_id,3,14,90,84,19,102,72,20,75,85,0.2,0.8,1,3,23,65,116,17,82,90,14,72,91,0.2,0.8,1
line,fusion_id,3,16,83,64,29,103,87,15,47,98,0.2,0.8,1,3,20,60,102,17,86,133,25,74,87,0.2,0.8,1
line,fusion_id,3,16,52,92,21,74,137,29,95,103,0.2,0.8,1,3,19,70,122,13,76,113,22,80,99,0.2,0.8,1
line,fusion_id,3,24,90,124,20,96,104,15,58,96,0.2,0.8,1,3,11,75,68,18,81,124,32,69,104,0.2,0.8,1
line,fusion_id,3,18,84,106,17,100,124,16,72,107,0.2,0.8,1,3,14,108,79,11,84,142,21,105,105,0.2,0.8,1
line,fusion_id,3,26,107,67,19,85,92,22,73,81,0.2,0.8,1,3,21,108,78,16,65,104,26,87,99,0.2,0.8,1
line,fusion_id,3,20,87,98,16,56,83,13,93,90,0.2,0.8,1,3,12,80,94,18,79,96,16,102,94,0.2,0.8,1
line,fusion_id,3,11,85,74,21,76,108,32,73,102,0.2,0.8,1,3,13,81,85,12,86,130,14,79,98,0.2,0.8,1
line,fusion_id,3,12,79,114,19,85,87,22,91,138,0.2,0.8,1,3,26,83,102,17,57,79,19,97,90,0.2,0.8,1
line,fusion_id,3,21,78,93,23,97,98,15,88,118,0.2,0.8,1,3,16,79,83,20,69,95,19,64,100,0.2,0.8,1
line,fusion_id,3,25,84,96,15,62,92,27,78,136,0.2,0.8,1,3,21,76,101,23,85,115,14,86,114,0.2,0.8,1
